Exectution Time Results
Datasets Size,Quick Sort,Heap Sort,Count Sort,Radix Sort,Bucket Sort,Min,Max,First,Last
10000,0.05639630589985245,0.11336669020010959,0.008891506599957211,0.03790711649980949,0.029981890099952578,1,10000,1,10000
20000,0.12069970179991288,0.24574988320000557,0.019704211899988878,0.07650636689986641,0.0642229062998922,0,20000,0,20000
30000,0.1900994817998253,0.38782422220019724,0.027731105599923467,0.1155195723998986,0.09993437349994565,0,30000,0,30000
40000,0.2514368026001648,0.5215806267000517,0.0373668205001195,0.1529480915000022,0.1365662804000749,1,39999,1,39999
50000,0.31710316650014647,0.672347832000105,0.04764746780010683,0.19647976219994234,0.1619922009002039,2,50000,2,50000
60000,0.4006394362998435,0.8338673143999585,0.05773596799999723,0.2289863601999059,0.19646776000008687,3,60000,3,60000
70000,0.46592431339995527,0.9761778374000641,0.06785384600007091,0.2681600296999022,0.2206820774001244,0,70000,0,70000
80000,0.5415557660998275,1.137556895799753,0.07742232420005166,0.3064694890001192,0.26120070850038246,1,79998,1,79998
90000,0.6073811007998302,1.2936687447001531,0.08835067299996809,0.34456993589992635,0.30856110370004897,0,90000,0,90000
100000,0.6682185153000318,1.4632917859999908,0.09875306000012643,0.4611392748000071,0.34773827879980673,1,100000,1,100000
110000,0.7430250937999517,1.6092622871996354,0.11139117359944066,0.511844667099831,0.3973952112999541,0,110000,0,110000
120000,0.8351321917998575,1.7748824730002526,0.11868501049993938,0.552777941900058,0.42945255229969914,0,119999,0,119999
130000,0.8951666016000672,1.92894324889985,0.12715909730050043,0.6012125390001529,0.47127316579935724,0,130000,0,130000
140000,0.9787681967001844,2.08098580379974,0.1370184319997861,0.6514843180999378,0.4993637477999073,1,140000,1,140000
150000,1.051280007099922,2.262118093999743,0.1612723737998749,0.7079518656002619,0.5421757447995332,1,149999,1,149999
160000,1.119156051700338,2.432242642700294,0.15872149010046996,0.739618775300005,0.5777616204002698,0,160000,0,160000
170000,1.2163440198997706,2.574773513699802,0.16864303959991958,0.8006727455998771,0.6222943619999569,0,170000,0,170000
180000,1.2823172263000742,2.772814115000074,0.18423433669959194,0.8529921619998276,0.6641041888000473,0,179999,0,179999
190000,1.369737767299739,2.939869274800185,0.19213458049980545,0.8922074128000531,0.6994006206003178,0,189999,0,189999
200000,1.4584161780998328,3.063291262900202,0.20703482950011676,0.9297613546004868,0.7248240672997781,1,200000,1,200000
210000,1.4966720704996987,3.2620124744997154,0.2125239098997554,0.9876979621001738,0.7596825343998717,0,210000,0,210000
220000,1.6134115342001678,3.413518976799969,0.22605875299977923,1.021461704900139,0.8001008420002108,1,219999,1,219999
230000,1.6622471798002152,3.588450514899705,0.23875181100011106,1.077543599800265,0.8483752427999207,0,229999,0,229999
240000,1.7300843988998167,3.7795110765999196,0.25226701030023835,1.144174232199839,0.8794745596998836,0,239999,0,239999
250000,1.8452086642995709,3.9477513264999287,0.26086966629991365,1.1771696417001294,0.8981325091001053,0,249999,0,249999
260000,1.8910344392001206,4.157614283300063,0.2772620886002187,1.2323433793999357,0.9316828135997639,0,260000,0,260000
270000,1.977000302200213,4.25835904380001,0.28217138170020917,1.2620629141998507,0.9706499322001036,1,270000,1,270000
280000,2.072720683600346,4.534044049199656,0.29909015520024695,1.3410271554999782,1.0036454400002186,0,280000,0,280000
290000,2.154632747800315,4.595842127499964,0.3091205307999189,1.3842508046998774,1.0348110698998425,2,290000,2,290000
300000,2.2592535241001315,4.854825209100272,0.31942158849979024,1.4270036656003868,1.0694329726000433,0,300000,0,300000


Memory Usage Results
Datasets Size,Quick Sort,Heap Sort,Count Sort,Radix Sort,Bucket Sort,Min,Max,First,Last
10000,0.00703125,0.0,0.0,0.0,0.0,1,10000,1,10000
20000,0.0,0.0,0.0,0.0,0.0,0,20000,0,20000
30000,0.0,0.0,0.0,0.0,0.0,0,30000,0,30000
40000,0.0,0.0,0.0,0.0,0.0,1,39999,1,39999
50000,0.0,0.0,0.0,0.0,0.0,2,50000,2,50000
60000,0.0,0.0,0.91015625,0.0,0.0,3,60000,3,60000
70000,0.0,0.0,0.915625,0.0,0.0,0,70000,0,70000
80000,0.0,0.0,0.957421875,0.0,0.0,1,79998,1,79998
90000,0.0,0.0,1.91953125,0.0,0.0,0,90000,0,90000
100000,0.0,0.0,1.729296875,0.0,0.0,1,100000,1,100000
110000,0.0,0.0,2.89140625,0.0,0.0,0,110000,0,110000
120000,0.0,0.0,2.876953125,0.0,0.0,0,119999,0,119999
130000,0.0,0.0,2.92890625,0.0,0.0,0,130000,0,130000
140000,0.0,0.0,3.8171875,0.0,0.0,1,140000,1,140000
150000,0.0,0.0,3.919921875,0.0,0.0,1,149999,1,149999
160000,0.0,0.0,3.85,0.0,0.0,0,160000,0,160000
170000,0.0,0.0,3.92578125,0.0,0.0,0,170000,0,170000
180000,0.0,0.0,3.7640625,0.0,0.0,0,179999,0,179999
190000,0.0,0.0,4.825,0.0,0.0,0,189999,0,189999
200000,0.0,0.0,4.875390625,0.0,0.0,1,200000,1,200000
210000,0.0,0.0,4.55859375,0.0,0.02734375,0,210000,0,210000
220000,0.0,0.0,5.67578125,0.0,0.0,1,219999,1,219999
230000,0.0,0.0,5.377734375,0.0,0.18984375,0,229999,0,229999
240000,0.0,0.0,5.285546875,0.0,0.0,0,239999,0,239999
250000,0.0,0.0,6.245703125,0.0,0.0,0,249999,0,249999
260000,0.0,0.0,6.05546875,0.0,0.0,0,260000,0,260000
270000,0.0,0.0,7.116796875,0.0,0.62109375,1,270000,1,270000
280000,0.0,0.0,7.809375,0.0,0.0,0,280000,0,280000
290000,0.0,0.0,7.8296875,0.0,1.3109375,2,290000,2,290000
300000,0.0,0.0,8.65,0.0,0.44453125,0,300000,0,300000
